update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,policy_loss,value_loss,entropy_bonus,loss,avg_action_prob,avg_return,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,naive_outcomes,0.01,0.9617185592651367,1.518810749053955,16384,0.46536940336227417,0.14077745378017426,0.13861511647701263,0.4675317406654358,0.25000861287117004,0.33900144696235657,0.0029498525073746312,0.004424778761061947,0.48525073746312686,0.5073746312684366,678,10.323008849557523,246051
1,naive_outcomes,0.01,0.13147354125976562,0.13814902305603027,32768,0.39708009362220764,0.12221790850162506,0.13861602544784546,0.38068199157714844,0.2500435709953308,0.2912704050540924,0.00511770726714432,0.0020470829068577278,0.31832139201637666,0.33162743091095187,977,18.916069600818833,246051
2,naive_outcomes,0.01,0.14221739768981934,0.14858770370483398,49152,0.4154411256313324,0.13046753406524658,0.13861580193042755,0.407292902469635,0.25012990832328796,0.3061513602733612,0.002129925452609159,0.005324813631522897,0.35250266240681577,0.3738019169329074,939,17.817891373801917,246051
3,naive_outcomes,0.01,0.1258993148803711,0.13197040557861328,65536,0.38021284341812134,0.11861205101013184,0.13861607015132904,0.36020880937576294,0.25006818771362305,0.28436797857284546,0.0033149171270718232,0.0022099447513812156,0.3447513812154696,0.35911602209944754,905,18.441988950276244,246051
4,naive_outcomes,0.01,0.13010859489440918,0.13630056381225586,81920,0.3934946656227112,0.12416627258062363,0.13861675560474396,0.37904417514801025,0.25007393956184387,0.29565101861953735,0.005405405405405406,0.004324324324324324,0.37189189189189187,0.33837837837837836,925,18.08,246051
5,naive_outcomes,0.01,0.16904377937316895,0.1753702163696289,98304,0.3752623200416565,0.11935684829950333,0.13861718773841858,0.35600197315216064,0.2500821352005005,0.2848510146141052,0.0032085561497326204,0.0021390374331550803,0.34545454545454546,0.3764705882352941,935,17.194652406417113,246051
6,naive_outcomes,0.01,0.1312716007232666,0.13735651969909668,114688,0.3853501081466675,0.12126585841178894,0.13861720263957977,0.36799877882003784,0.24998246133327484,0.2939665913581848,0.005307855626326964,0.0010615711252653928,0.35881104033970274,0.37048832271762205,942,17.615711252653927,246051
7,naive_outcomes,0.01,0.12987947463989258,0.13605117797851562,131072,0.37653177976608276,0.1201992854475975,0.138617143034935,0.35811394453048706,0.2500898540019989,0.28999578952789307,0.005549389567147614,0.0022197558268590455,0.3584905660377358,0.3562708102108768,901,18.190899001109877,246051
8,naive_outcomes,0.01,0.12899112701416016,0.13497257232666016,147456,0.3568193316459656,0.11478014290332794,0.1386176347732544,0.33298182487487793,0.250057578086853,0.2793065309524536,0.004352557127312296,0.002176278563656148,0.36670293797606096,0.35038084874863984,919,17.621327529923832,246051
9,naive_outcomes,0.01,0.1337273120880127,0.13979792594909668,163840,0.3764770030975342,0.12030307203531265,0.13861772418022156,0.3581623435020447,0.2500686049461365,0.29572129249572754,0.007478632478632479,0.003205128205128205,0.36004273504273504,0.37072649572649574,936,17.47222222222222,246051
10,naive_outcomes,0.01,0.13117051124572754,0.13710427284240723,180224,0.3837394118309021,0.1224840059876442,0.13861793279647827,0.3676055073738098,0.25005245208740234,0.3031908869743347,0.003125,0.0020833333333333333,0.3854166666666667,0.35208333333333336,960,17.398958333333333,246051
